Date,Away,Away_3rdQ,Away_Score,Home,Home_3rdQ,Home_Score
1027,Cleveland Cavaliers,68,95,Chicago Bulls,71,97
1027,Detroit Pistons,82,106,Atlanta Hawks,66,94
1027,New Orleans Pelicans,75,95,Golden State Warriors,94,111
1028,Washington Wizards,65,88,Orlando Magic,67,87
1028,Philadelphia 76ers,67,95,Boston Celtics,79,112
1028,Indiana Pacers,68,99,Toronto Raptors,72,106
1028,Chicago Bulls,86,115,Brooklyn Nets,71,100
1028,Charlotte Hornets,60,94,Miami Heat,73,104
1028,Utah Jazz,64,87,Detroit Pistons,69,92
1028,San Antonio Spurs,83,106,Oklahoma City Thunder,79,112
1028,New York Knicks,90,122,Milwaukee Bucks,73,97
1028,Denver Nuggets,76,105,Houston Rockets,63,85
1028,Cleveland Cavaliers,79,106,Memphis Grizzlies,55,76
1028,New Orleans Pelicans,67,94,Portland Trail Blazers,87,112
1028,Dallas Mavericks,88,111,Phoenix Suns,66,95
1028,LA Clippers,85,111,Sacramento Kings,74,104
1028,Minnesota Timberwolves,88,112,Los Angeles Lakers,95,111
1029,Memphis Grizzlies,73,112,Indiana Pacers,75,103
1029,Atlanta Hawks,84,112,New York Knicks,72,101
1029,Dallas Mavericks,68,88,LA Clippers,85,104
1030,Miami Heat,67,92,Cleveland Cavaliers,76,102
1030,Utah Jazz,74,99,Philadelphia 76ers,53,71
1030,Oklahoma City Thunder,75,139,Orlando Magic,93,136
1030,Toronto Raptors,84,113,Boston Celtics,75,103
1030,Chicago Bulls,64,94,Detroit Pistons,64,98
1030,Washington Wizards,82,118,Milwaukee Bucks,92,113
1030,Charlotte Hornets,69,94,Atlanta Hawks,76,97
1030,Brooklyn Nets,64,75,San Antonio Spurs,76,102
1030,Minnesota Timberwolves,79,95,Denver Nuggets,63,78
1030,Golden State Warriors,81,112,Houston Rockets,65,92
1030,Los Angeles Lakers,83,114,Sacramento Kings,102,132
1030,Portland Trail Blazers,69,92,Phoenix Suns,83,110
1031,Utah Jazz,70,97,Indiana Pacers,61,76
1031,New York Knicks,87,117,Washington Wizards,90,110
1031,Golden State Warriors,105,134,New Orleans Pelicans,91,120
1031,Brooklyn Nets,69,91,Memphis Grizzlies,79,101
1031,Phoenix Suns,74,101,Portland Trail Blazers,71,90
1031,Sacramento Kings,79,109,LA Clippers,83,114
1101,Atlanta Hawks,70,94,Charlotte Hornets,76,92
1101,San Antonio Spurs,64,95,Boston Celtics,54,87
1101,Milwaukee Bucks,71,87,Toronto Raptors,81,106
1101,Houston Rockets,75,89,Miami Heat,75,109
1101,Orlando Magic,63,87,Chicago Bulls,75,92
1101,Denver Nuggets,70,93,Oklahoma City Thunder,95,117
1101,Dallas Mavericks,81,103,Los Angeles Lakers,64,93
1102,Cleveland Cavaliers,82,107,Philadelphia 76ers,72,100
1102,San Antonio Spurs,70,94,New York Knicks,65,84
1102,Milwaukee Bucks,80,103,Brooklyn Nets,80,96
1102,Oklahoma City Thunder,79,105,Houston Rockets,82,110
1102,Portland Trail Blazers,83,106,Minnesota Timberwolves,80,101
1102,Memphis Grizzlies,49,69,Golden State Warriors,93,119
1102,Phoenix Suns,72,96,LA Clippers,75,102
1103,Chicago Bulls,77,105,Charlotte Hornets,100,130
1103,Atlanta Hawks,79,98,Miami Heat,65,92
1103,Indiana Pacers,85,94,Detroit Pistons,67,82
1103,Orlando Magic,78,103,New Orleans Pelicans,69,94
1103,Toronto Raptors,74,102,Dallas Mavericks,73,91
1103,Memphis Grizzlies,83,103,Sacramento Kings,67,89
1103,Denver Nuggets,93,120,Los Angeles Lakers,83,109
1104,San Antonio Spurs,73,99,Washington Wizards,66,102
1104,Boston Celtics,72,98,Indiana Pacers,73,100
1104,New York Knicks,69,86,Cleveland Cavaliers,70,96
1104,Brooklyn Nets,70,87,Atlanta Hawks,72,101
1104,Philadelphia 76ers,67,87,Milwaukee Bucks,68,91
1104,Orlando Magic,88,114,Houston Rockets,90,119
1104,Toronto Raptors,73,103,Oklahoma City Thunder,81,98
1104,Portland Trail Blazers,76,108,Utah Jazz,68,92
1104,Sacramento Kings,69,97,Phoenix Suns,81,118
1104,LA Clippers,83,108,Golden State Warriors,82,112
1105,Oklahoma City Thunder,73,98,Chicago Bulls,76,104
1105,Miami Heat,73,96,Minnesota Timberwolves,61,84
1105,Charlotte Hornets,78,108,Dallas Mavericks,67,94
1105,Utah Jazz,65,96,Denver Nuggets,64,84
1105,Memphis Grizzlies,71,96,Portland Trail Blazers,90,115
1106,Toronto Raptors,69,87,Orlando Magic,64,92
1106,Los Angeles Lakers,79,104,Brooklyn Nets,72,98
1106,Washington Wizards,74,98,Boston Celtics,100,118
1106,Philadelphia 76ers,73,102,Cleveland Cavaliers,81,108
1106,Milwaukee Bucks,75,99,New York Knicks,73,92
1106,Miami Heat,68,87,Indiana Pacers,71,90
1106,Atlanta Hawks,89,121,New Orleans Pelicans,79,115
1106,Detroit Pistons,67,100,Phoenix Suns,63,92
1106,Houston Rockets,85,116,Sacramento Kings,78,110
1106,Denver Nuggets,75,104,Golden State Warriors,99,119
1107,Minnesota Timberwolves,76,102,Chicago Bulls,77,93
1107,Orlando Magic,81,105,Philadelphia 76ers,73,97
1107,Washington Wizards,78,99,Atlanta Hawks,75,114
1107,Charlotte Hornets,76,94,San Antonio Spurs,93,114
1107,Brooklyn Nets,61,86,Milwaukee Bucks,67,94
1107,New Orleans Pelicans,70,98,Dallas Mavericks,72,107
1107,Memphis Grizzlies,57,79,Utah Jazz,77,89
1107,Golden State Warriors,72,103,Sacramento Kings,68,94
1107,Houston Rockets,83,109,LA Clippers,78,105
1108,Los Angeles Lakers,70,95,New York Knicks,71,99
1108,Indiana Pacers,73,97,Cleveland Cavaliers,74,101
1108,Toronto Raptors,63,76,Miami Heat,74,96
1108,Phoenix Suns,77,103,Oklahoma City Thunder,89,124
